TRANSCRIPTION,EMOTION
" Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neu
" Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",fru
 Do they always run during a full moon?  I don't remember.  Was it full last year?,neu
" Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",neu
" Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",neu
" God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",exc
 I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,xxx
 Do you want my jacket?,fru
 What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?,xxx
 Right.,neu
" Wait, that's my point, too.",neu
" No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",fru
 Why not?,neu
" Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",neu
 Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neu
 This is a big night for these little guys.  It's like life's last orgy.,neu
 Yeah they do.,fru
" okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs.",xxx
" There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",neu
 For real?,sur
" God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",neu
" And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neu
 Ahh...we weren't in a good spot.,neu
" We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neu
" Look there, see?  What's that?  No, that's - that's just seaweed.",exc
" God, this is great.  Think about this.  I know you are not interested, but just think about this.",hap
" Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map.",xxx
" Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",exc
 They are swimming right now.  They are swimming as if that is the only thing that matters to them.,xxx
 It's single mindedness with no mind.  It is urgency that is just pure urge.,exc
 And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,xxx
" Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm.",xxx
 So what do you think?,hap
" About all of that, about all I was talking about.",hap
 That's the wind.,neu
 About what?,neu
 I think it's ridiculous.,xxx
 It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,xxx
" Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action.",xxx
" I'm sorry, it's just fish to me.",xxx
" Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",ang
 We just have different ideas of what this night is supposed to look like.,fru
" For God- Grow up, Augie.  The fish are not going to arrive.",ang
 Because they never do.  Have they...Have they ever?,ang
 Twice is every time we have tried; that's ever.,ang
 No they won't.  It's like waiting for Santa Claus.,xxx
 I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.,fru
 You don't understand anything I am saying.,fru
" I did want to see it, I still do, I always do.  I just...",xxx
" I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",sad
" For God's sake, this is not about fish.",ang
 Do you remember the first year we came here?  It was like four years after we got married.,neu
" We thought I was pregnant, we got a bottle of champagne, we had no glasses.  We took off our shoes and you asked me to dance.",xxx
" You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",hap
" Drinking champagne from the bottle,",xxx
 dancing barefoot in the sand.,fru
 I'd rather not remember some things.  I'd rather not hope for some things.,sad
 No.,neu
 No.,xxx
" No, no. Nothing.",fru
 No.,neu
 No.,fru
 I just want something to turn out like I expected it to.,xxx
 [BREATHING],fru
 This? What is this?  This is nothing.  This isn't even anything.,fru
 Sure.  This is standing on the beach waiting.  This is fighting.,xxx
" I mean this is a lot of things, but it's just...",fru
 Do you understand what I am saying?,fru
" I know you are Augie, I know.",sad
" I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sad
 I didn't say that.,sad
" Don't be ridiculous.  Anything that- anything I am doing, I'd rather be doing it with you.",sur
 Yeah.  Don't you know that?,sur
 For Heaven's sake Augie.,xxx
" You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself.",sad
" So maybe we are in the wrong spot, but we are with the right person.",neu
" Hmm.  I noticed that, it's pretty. Big old white moon.",hap
" Augie, you bought refreshments.",hap
 I guess we don't need glasses.,hap
 I'm beginning to think this might be the right spot after all.,hap
" Augie, I'm sorry.",sad
 Or not.,neu
" Look at this, all of the hairs are standing up on my arm.",exc
" Well, so, what do you think?",exc
 About what I was saying.,neu
 It certainly is not.  It's slightly exaggerated scientific fact.,xxx
" Not just me, look at all of these people.",fru
" Are we talking about the same thing, here?",xxx
" Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",neu
" Well then, what's bugging you?",fru
" There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",fru
 Why not?,fru
 We've missed them twice.,fru
 They'll show up this time.,fru
 I thought you wanted to see it.,xxx
 No. Of course not.,fru
" It's just fish, it's nothing to get traumatized over.",fru
 Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,fru
" Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",neu
" Okay.  So I am putting out the pets, getting the car out of the garage.",neu
" Wait a minute, I got it.",xxx
" It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",neu
" That's what it is?  Right?  You want this to be like the other time, right?",fru
 Sure.  All right.  Okay.,neu
" Listen, do you want to dance?",neu
 Do you want me to go get some champagne?,neu
 Do you want to take off your shoes?,hap
 Then what?,xxx
 Do you want to get married again?,hap
 What?  What?  Do you want a divorce?,oth
 A vacation?,xxx
 Like a new carpet?  A poodle?  A back rub?  Ice cream?  A suicide pact?  What do you want?  What the hell do you want?,xxx
" Well welcome to the human race, huh?  Do you think I had some grand fantasy going that four years down the line we would come to this beach and be arguing over fish?  No.",xxx
" No I'm just like you.  I thought it was going to be all roses and peaches and the bills would just pay themselves.  And we'll have three, fat rosy cheeked children.  Huh, baby, the joke's on us.  Because you know what you get?",fru
 Do you know what you get?  You get this.,fru
 Yes it is.,neu
 Right,xxx
 [BREATHING],fru
 I'm doing the best I can.,fru
" Maybe if you were with someone else, too.",sad
 I just- I know I don't make you happy.,sad
 Yeah?,sur
" You know, actually now that you mention it, no I don't.",neu
" I don't know, it seemed like such a good spot to me.",fru
" We have a great view of the moon from here, though, huh?",neu
 [BREATHING],neu
 And look what I got here.,hap
 It's not champagne.,xxx
 [BREATHING],hap
 Do you want to go home?  Are you cold?,neu
" Shh.  If we're very quiet, the fish might come.",neu
 Or not.,hap
 Is it them?,fea
 Freda is the only one who knows we are here.  She wouldn't ring up.,fea
 It had to happen sooner or later.  What are we going to do?,fea
" Now and always, sweet.",xxx
